id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
1,NY Climate Collective,13/07/2018,video,NO_CTA,video,6466.11,1616083,674,401,227,168944,56385,Yes,5,Man,Persuading,7,3,9,5,CTA in text,Negative,Social issues,0,Professional,0,0,0,Magenta
2,Great Rants,12/04/2019,video,NO_CTA,video,3600,1560883,70,6,2,10534,2240,Yes,5,Both,Engaging,9,2,4,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
3,Great Rants,18/04/2019,video,NO_CTA,video,2000,1029651,107,30,15,15332,5306,Yes,5,Both,Engaging,8,3,4,4,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
4,Great Rants,12/04/2019,video,NO_CTA,video,2000,941177,64,19,6,11843,3195,Yes,5,Both,Persuading,6,3,8,4,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
5,Great Rants,12/04/2019,video,NO_CTA,video,2000,920723,87,15,6,8481,2252,Yes,5,Woman,Engaging,8,3,6,2,no CTA at all,Positive,Environment,1,Professional,0,0,0,Blue
6,Great Rants,15/04/2019,video,NO_CTA,video,1673.68,820207,53,9,5,5677,1516,Yes,5,Both,Engaging,8,2,6,3,no CTA at all,Positive,Social issues,1,Professional,0,0,0,Blue
7,NY Climate Collective,08/10/2018,photo,NO_CTA,photo,4360.49,689043,4011,670,645,0,0,Yes,1,Woman,Persuading,3,2,8,1,no CTA at all,Neutral,Social issues,0,Professional,0,0,0,Magenta
8,Great Rants,12/04/2019,video,NO_CTA,video,1379.81,607651,49,3,5,5256,1438,Yes,5,Both,Engaging,8,2,6,2,no CTA at all,Positive,Other,1,Professional,0,0,0,Blue
9,NY Climate Collective,01/03/2018,video,learn_more,video,5000,576576,1974,133,337,70913,34250,Yes,3,Both,Engaging,10,3,5,2,CTA in both,Positive,Finance,0,Professional,0,0,0,Magenta
10,Great Rants,22/03/2019,video,NO_CTA,video,4931.98,564198,1751,375,479,60866,21332,Yes,5,Both,Persuading,2,1,8,1,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Red
11,NY Climate Collective,25/07/2018,video,NO_CTA,video,1700,527326,243,93,131,23921,23921,No,0,No person,Persuading,1,2,9,3,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
12,Great Rants,04/05/2019,photo,NO_CTA,photo,911.02,487263,94,34,8,0,0,Yes,1,Woman,Persuading,3,1,7,1,no CTA at all,Positive,Social issues,1,Professional,0,0,0,Blue
13,NY Climate Collective,12/01/2018,video,learn_more,video,1237.94,477650,0,0,0,5161,4306,No,0,No person,Persuading,1,4,9,3,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
14,Heschsoft,21/03/2019,video,NO_CTA,video,1107.94,443306,191,25,18,5193,1002,No,0,No person,Engaging,10,1,5,2,CTA in both,Positive,Social issues,0,Professional,0,0,0,Purple
15,Great Rants,15/03/2019,photo,NO_CTA,photo,2379.64,437993,623,95,64,0,0,Yes,5,Both,Persuading,1,1,7,1,no CTA at all,Positive,Environment,0,Professional,0,0,0,Red
16,Great Rants,14/05/2019,video,NO_CTA,video,1487.4,427243,822,152,93,22419,6516,Yes,2,Both,Persuading,2,1,9,4,no CTA at all,Positive,Finance,0,Professional,0,0,0,White
17,NY Climate Collective,22/02/2018,video,learn_more,video,3338.74,424058,4459,78,13,18508,8352,Yes,0,No person,Engaging,1,1,1,1,no CTA at all,Neutral,Other,0,Review needed,0,0,0,Black
18,Great Rants,18/04/2019,video,NO_CTA,video,1963.7,393356,836,279,126,77884,40861,Yes,5,Both,Persuading,5,2,9,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
19,Great Rants,15/04/2019,video,NO_CTA,video,2000,391671,556,302,67,42188,17426,Yes,5,Woman,Persuading,3,2,9,3,no CTA at all,Positive,Environment,1,Professional,0,0,0,Blue
21,NY Climate Collective,17/01/2019,video,subscribe,video,480.59,382751,0,0,1,2873,1954,Yes,5,Both,Engaging,10,2,5,2,CTA in creative,Positive,No topic,0,Professional,0,0,0,Magenta
22,Heschsoft,28/03/2019,video,NO_CTA,video,567.84,365647,64,8,4,3283,1110,No,0,No person,Engaging,9,2,6,1,CTA in creative,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Purple
23,Great Rants,16/04/2019,photo,NO_CTA,photo,1210.01,352382,349,37,29,0,0,Yes,3,Both,Persuading,1,1,9,1,no CTA at all,Positive,Infrastructure,0,Professional,0,0,0,Blue
24,Great Rants,23/08/2018,video,NO_CTA,video,1200,351897,1100,159,375,76127,48757,Yes,2,Man,Engaging,8,2,7,1,CTA in text,Positive,Social issues,0,Professional,0,0,0,Green
25,Spartan Consulting,28/03/2019,video,NO_CTA,video,1031.48,335267,632,374,173,32126,17101,Yes,5,Both,Persuading,6,2,8,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
26,NY Climate Collective,14/03/2019,video,NO_CTA,video,1301.75,334223,274,114,119,18396,18396,Yes,5,Both,Persuading,5,3,9,1,CTA in both,Negative,Social issues,0,Professional,0,0,0,Magenta
28,Heschsoft,01/04/2019,video,NO_CTA,video,469.67,326881,35,15,3,5313,5313,No,0,No person,Persuading,2,1,7,3,no CTA at all,Positive,Security,0,Professional,0,0,0,Purple
29,NY Climate Collective,15/03/2019,video,NO_CTA,video,951.91,326707,663,87,196,94788,94788,No,0,No person,Informing,2,4,4,7,CTA in text,Neutral,Social issues,0,Professional,0,0,0,Magenta
30,Great Rants,15/04/2019,video,NO_CTA,video,2000,322488,458,249,78,37846,15265,Yes,1,Woman,Persuading,4,2,9,3,CTA in text,Positive,Infrastructure,0,Professional,0,0,0,Blue
32,Great Rants,23/05/2019,video,NO_CTA,video,2113.44,305424,283,122,45,35112,8159,No,0,No person,Persuading,4,7,9,1,no CTA at all,Positive,Finance,1,Professional,1,1,1,White
34,Heschsoft,05/04/2019,video,NO_CTA,video,452.73,300324,28,3,1,6794,6794,No,0,No person,Persuading,1,1,9,3,no CTA at all,Neutral,Finance,0,Professional,1,0,0,White
35,Great Rants,12/04/2019,video,NO_CTA,video,1800.08,295119,1294,275,73,36765,11623,Yes,1,Woman,Persuading,2,1,9,1,no CTA at all,Positive,Environment,0,User generated,1,0,0,Other
37,Great Rants,06/04/2019,photo,NO_CTA,photo,741.93,278994,103,25,6,0,0,Yes,1,Woman,Persuading,1,1,7,2,no CTA at all,Neutral,International Politics,0,Professional,1,0,0,Black
38,Great Rants,18/04/2019,photo,NO_CTA,photo,849.45,274801,405,60,29,0,0,Yes,1,Woman,Persuading,1,1,9,5,no CTA at all,Positive,Finance,0,Professional,1,0,0,Blue
40,Great Rants,23/05/2019,photo,NO_CTA,photo,1621.79,258010,277,66,20,0,0,Yes,3,Woman,Persuading,4,1,9,1,no CTA at all,Positive,Social issues,1,Professional,1,0,1,Blue
41,Great Rants,08/04/2019,video,learn_more,video,2060.97,252585,70,27,2,15892,8205,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Negative,Social issues,0,Review needed,0,1,0,Blue
43,NY Climate Collective,27/06/2019,link,NO_CTA,share,353.42,239434,169,69,24,0,0,No,0,No person,Informing,6,2,5,9,CTA in text,Positive,Environment,0,Professional,1,0,0,Blue
44,NY Climate Collective,22/08/2019,link,NO_CTA,share,925.53,238734,404,69,73,0,0,Yes,5,Both,Informing,5,1,5,9,CTA in text,Positive,Other,0,Professional,1,0,0,Blue
45,Great Rants,10/05/2019,photo,NO_CTA,photo,657.47,232122,101,24,15,0,0,Yes,2,Both,Persuading,1,1,7,3,no CTA at all,Positive,Finance,0,Professional,1,0,0,Black
47,Great Rants,17/05/2019,video,NO_CTA,video,1235.32,227169,186,75,12,9295,2404,Yes,5,Both,Persuading,2,1,9,4,no CTA at all,Positive,Other,1,Professional,1,0,1,Blue
48,NY Climate Collective,17/04/2019,photo,NO_CTA,photo,518.85,223668,581,318,126,0,0,No,0,No person,Informing,1,5,5,9,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
49,NY Climate Collective,16/05/2018,photo,message_page,photo,700.84,222457,2368,210,1142,0,0,No,0,No person,Informing,1,2,4,9,no CTA at all,Negative,Finance,0,Professional,1,0,0,Magenta
50,Heschsoft,08/04/2019,video,NO_CTA,video,357.66,217921,41,9,2,2525,553,No,0,No person,Engaging,8,1,7,4,CTA in creative,Positive,Security,0,Professional,1,0,0,Purple
